8125,8047,57728,107
7904,7755,55523.4,5
7755,7646,55249.1,42
7608,7495,55013.9,162
7495,7423,54629.5,48
8317,8219,59257.9,13
7301,7169,53474.5,226
7423,7301,53759.7,349
7169,7075,51273.5,133
7075,7028,49954.9,7
7028,6891,49135.6,125
6891,6749,49106.5,228
6716,6551,47018,2
6551,6459,45406.4,10
6459,6387,45402.5,63
6387,6258,45353.2,159
6258,6149,45002.2,124
6149,6083,44118,95
6083,6015,43358.8,379
5938,5835,40642.5,212
5835,5741,40589.6,95
2771,2672,14951.4,162
4423,4280,29414.2,2
2672,2574,12124.7,210
1079,982,4014.43,8
445,370,1886.28,107
4280,4225,29344.5,549
4516,4423,30380.3,12
4693,4617,31982.4,83
6749,6716,48376.4,265
2304,2235,9897.02,138
2235,2114,9700.53,28
2022,1945,8729.84,10
370,221,1793.97,128
1877,1689,8220.82,146
2114,2022,8877.71,84
2822,2771,15674.2,463
4120,4007,26070.3,23
1592,1573,5231.85,6
3380,3342,20549.1,156
3126,3059,17106.9,133
1400,1363,4690.15,21
8477,8317,59828.3,241
3524,3380,21389,175
144,70,348.384,141
221,144,1107.07,7
3879,3794,25178.5,126
5177,5080,35767.7,277
8001,7904,56047.7,50
5080,5026,35297.3,187
754,657,3530.42,245
1167,1079,4191.42,57
1689,1592,6085.45,76
5288,5177,36085,73
5026,4926,33602.4,27
835,754,3604.19,45
2392,2304,9910.02,30
2900,2822,15996.5,115
5437,5288,36164.6,47
8047,8001,56709.9,91
6015,5938,42722.7,8
554,445,1913.32,17
657,554,3234.94,7
1363,1192,4353.26,2
982,835,3678.02,15
1945,1877,8280.92,384
3342,3266,19505.4,255
4817,4693,32501.4,197
1192,1167,4207.87,28
1573,1400,4745.11,62
8219,8125,57814.1,168
3266,3126,18609.4,66
3059,2900,16736.1,52
3567,3524,22073.1,150
3678,3567,22839.4,115
3794,3678,23505.1,131
7646,7608,55225.1,62
5741,5629,39191.3,79
70,-1,313.299,0
4007,3879,25264.1,292
2574,2392,11176.4,3
4225,4120,29335,122
4617,4516,30803.6,176
4926,4817,32642.6,81
5492,5437,38128.9,14
5629,5492,38576.9,332
