350,338,98.7327,1023
306,285,90.5702,1023
303,299,90.074,1023
301,285,89.0202,1023
285,281,88.0658,1023
69,65,16.9914,1023
109,102,30.478,1023
107,98,29.4607,1023
102,94,26.3896,1023
88,69,19.3204,1023
115,102,28.9357,1023
310,303,91.3055,1023
56,28,12.4596,1023
233,217,63.8884,1023
28,23,7.69364,1023
0,-1,1.76007,1
177,160,46.2731,1023
98,89,22.7268,1023
138,134,37.8818,1023
11,0,5.6615,1023
77,67,17.446,1023
19,11,6.75748,1023
139,128,35.7421,1023
257,245,74.3474,1023
128,123,35.2164,1023
255,245,77.8867,1023
240,219,69.7163,1023
23,19,7.50907,1023
259,257,79.1285,1023
123,109,34.4589,1023
94,89,22.4062,1023
271,260,83.2469,1023
319,310,92.1517,1023
65,61,14.1529,1023
36,28,8.73201,1023
18,0,7.98071,1023
272,260,84.1276,1023
134,128,37.1932,1023
61,36,12.1036,1023
89,77,18.0262,1023
334,328,98.8856,1023
207,194,60.8639,1023
60,36,13.4621,1023
160,147,41.1646,1023
92,77,22.0215,1023
219,217,64.2227,1023
173,160,44.8974,1023
299,285,88.979,1023
172,160,45.7814,1023
180,172,47.502,1023
189,180,52.1212,1023
186,180,53.5619,1023
245,235,70.0904,1023
190,180,54.8661,1023
67,65,16.8239,1023
194,186,55.0217,1023
209,194,55.4957,1023
328,319,93.4382,1023
201,194,58.3572,1023
260,255,79.437,1023
338,328,98.6248,1023
211,201,60.74,1023
270,259,80.3045,1023
217,211,61.2477,1023
226,211,63.1247,1023
235,219,67.0335,1023
147,138,39.7237,1023
274,270,84.5702,1023
281,274,86.0345,1023
